customerID,Churn,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PhoneService,MultipleLines,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,gender,SeniorCitizen,Partner,Dependents,tenure
0022-TCJCI,Yes,DSL,Yes,No,Yes,No,No,Yes,Yes,No,One year,No,Credit card (automatic),62.7,2791.5,Male,1,No,No,45
0023-HGHWL,Yes,DSL,No,No,No,No,No,No,No,No phone service,Month-to-month,Yes,Electronic check,25.1,25.1,Male,1,No,No,1
0023-UYUPN,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,One year,No,Electronic check,25.2,1306.3,Female,1,Yes,No,50
0023-XUOPT,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,94.1,1215.6,Female,0,Yes,No,13
0027-KWYKW,No,Fiber optic,No,No,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,83.75,1849.95,Female,0,Yes,Yes,23
0030-FNXPP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Mailed check,19.85,57.2,Female,0,No,No,3
0031-PVLZI,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Mailed check,20.35,76.35,Female,0,Yes,Yes,4
0032-PGELS,Yes,DSL,Yes,No,No,No,No,No,No,No phone service,Month-to-month,No,Bank transfer (automatic),30.5,30.5,Female,0,Yes,Yes,1
0036-IHMOT,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),103.7,5656.75,Female,0,Yes,Yes,55
0040-HALCW,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Two year,No,Credit card (automatic),20.4,1090.6,Male,0,Yes,Yes,54
0042-JVWOJ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),19.6,471.85,Male,0,No,No,26
0042-RLHYP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Two year,No,Bank transfer (automatic),19.7,1396.9,Female,0,Yes,Yes,69
0047-ZHDTW,,Fiber optic,Yes,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),79.0,929.3,Female,0,No,No,11
0048-LUMLS,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),91.2,3247.55,Male,0,Yes,Yes,37
0048-PIHNL,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,One year,No,Bank transfer (automatic),20.45,900.9,Female,0,Yes,No,49
0052-DCKON,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),115.8,7942.15,Male,0,Yes,No,66
0052-YNYOT,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,One year,No,Electronic check,20.55,1343.4,Female,0,No,No,67
0056-EPFBG,No,DSL,Yes,No,Yes,Yes,No,No,No,No phone service,Two year,Yes,Credit card (automatic),39.4,825.4,Male,0,Yes,Yes,20
0057-QBUQH,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Two year,Yes,Electronic check,25.1,1070.15,Female,0,No,Yes,43
0058-EVZWM,No,Fiber optic,Yes,No,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),89.8,4959.6,Female,0,Yes,No,55
0060-FUALY,No,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.75,5597.65,Female,0,Yes,No,59
0064-SUDOG,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Two year,No,Bank transfer (automatic),20.3,224.5,Female,0,Yes,Yes,12
0064-YIJGF,No,Fiber optic,No,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),75.75,1929.0,Male,0,Yes,Yes,27
0067-DKWBL,Yes,DSL,Yes,No,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,49.25,91.1,Male,1,No,No,2
0068-FIGTF,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,78.2,2078.95,Female,0,No,No,27
0071-NDAFP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Two year,No,Credit card (automatic),25.5,630.6,Male,0,Yes,Yes,25
0074-HDKDG,No,DSL,Yes,Yes,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),61.6,1611.0,Male,0,Yes,Yes,25
0076-LVEPS,No,DSL,Yes,Yes,Yes,Yes,No,No,No,No phone service,Month-to-month,Yes,Mailed check,45.0,1242.45,Male,0,No,Yes,29
0078-XZMHT,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.15,6316.2,Male,0,Yes,No,72
0080-EMYVY,No,DSL,No,Yes,No,No,No,No,Yes,No,One year,No,Credit card (automatic),51.45,727.85,Female,0,No,No,14
0080-OROZO,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,99.25,3532.0,Female,0,No,No,35
0082-LDZUE,No,DSL,No,No,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,44.3,44.3,Male,0,No,No,1
0082-OQIQY,No,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.2,2607.6,Male,0,No,No,29
0083-PIVIK,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,81.25,5567.55,Male,0,No,No,64
0089-IIQKO,No,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.95,3767.4,Female,0,Yes,Yes,39
0093-EXYQL,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,91.55,3673.6,Female,1,No,No,40
0093-XWZFY,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.5,4036.85,Male,0,No,No,40
0094-OIFMO,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,95.0,1120.3,Female,1,No,No,11
0096-BXERS,No,DSL,No,No,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.35,314.55,Female,0,Yes,No,6
0096-FCPUF,No,DSL,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,64.5,1888.45,Male,0,No,No,30
0098-BOWSO,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,19.4,529.8,Male,0,No,No,27
0100-DUVFC,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,104.8,7308.95,Male,1,Yes,No,70
0103-CSITQ,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),109.4,6252.7,Female,0,Yes,No,57
0104-PPXDV,No,DSL,No,No,Yes,No,No,No,Yes,No,One year,No,Credit card (automatic),50.3,2878.55,Male,0,Yes,No,58
0106-GHRQR,No,DSL,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),71.4,1212.1,Male,0,No,No,16
0106-UGRDO,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,116.0,8182.85,Female,0,Yes,No,69
0107-WESLM,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,19.85,19.85,Male,0,No,No,1
0107-YHINA,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,99.75,99.75,Male,0,No,Yes,1
0111-KLBQG,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,93.95,2861.45,Male,1,Yes,Yes,32
0112-QAWRZ,No,Fiber optic,No,No,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),90.8,1442.2,Male,0,Yes,Yes,16
0112-QWPNC,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,84.35,4059.35,Male,0,Yes,No,49
0114-IGABW,No,DSL,No,Yes,Yes,Yes,Yes,Yes,No,No phone service,Two year,No,Bank transfer (automatic),58.25,4145.9,Female,0,Yes,No,71
0114-PEGZZ,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,107.55,3645.5,Female,0,No,No,33
0114-RSRRW,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),19.95,187.75,Female,0,Yes,No,10
0115-TFERT,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.2,2317.1,Male,0,Yes,No,21
0117-LFRMW,Yes,DSL,Yes,Yes,Yes,No,No,No,No,No phone service,Month-to-month,No,Bank transfer (automatic),40.2,1448.8,Male,0,Yes,Yes,37
0118-JPNOY,No,Fiber optic,Yes,No,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.8,2193.65,Female,1,No,No,26
0120-YZLQA,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Two year,Yes,Credit card (automatic),19.9,1355.1,Male,0,No,No,71
0121-SNYRK,No,DSL,Yes,No,No,Yes,No,No,No,No phone service,One year,Yes,Mailed check,35.4,1748.9,Male,0,No,No,50
0122-OAHPZ,Yes,Fiber optic,No,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,73.85,511.25,Female,0,No,No,7
0123-CRBRT,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,88.1,5526.75,Female,0,Yes,Yes,61
0125-LZQXK,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,101.35,1553.95,Male,0,No,No,15
0128-MKWSG,No,DSL,Yes,No,No,Yes,No,Yes,No,No phone service,Month-to-month,No,Mailed check,45.8,1147.0,Female,0,No,Yes,26
0129-KPTWJ,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.65,6747.35,Male,0,Yes,No,72
0129-QMPDR,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),20.5,865.05,Male,0,Yes,Yes,44
0130-SXOUN,No,Fiber optic,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),89.4,5976.9,Male,0,No,No,66
0133-BMFZO,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.25,181.65,Female,0,No,No,2
0134-XWXCE,No,DSL,No,No,Yes,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),74.85,3268.05,Female,1,No,No,44
0135-NMXAP,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),89.75,1052.4,Female,0,No,No,12
0136-IFMYD,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,109.95,7634.25,Male,1,Yes,No,69
0137-OCGAB,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,80.2,80.2,Female,0,No,No,1
0137-UDEUO,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Mailed check,19.85,63.75,Female,0,No,No,3
0139-IVFJG,No,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,90.35,190.5,Female,0,Yes,No,2
0141-YEAYS,No,Fiber optic,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),86.45,2401.05,Female,1,No,No,27
0142-GVYSN,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,20.3,511.25,Male,0,No,No,26
0147-ESWWR,No,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.25,3949.15,Female,1,Yes,No,39
0148-DCDOS,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.7,2362.1,Male,0,No,No,25
0151-ONTOV,Yes,Fiber optic,No,No,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,70.9,70.9,Female,0,No,No,1
0154-QYHJU,,DSL,Yes,Yes,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,58.75,1696.2,Male,0,No,No,29
0156-FVPTA,Yes,DSL,Yes,No,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,54.2,1152.7,Male,0,Yes,No,22
0162-RZGMZ,,DSL,Yes,Yes,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),59.9,287.85,Female,1,No,No,5
0164-APGRB,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,114.9,8496.7,Female,0,No,No,72
0164-XAIRP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),19.55,470.2,Female,0,No,No,24
0168-XZKBB,No,Fiber optic,No,No,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,86.85,1564.4,Female,0,Yes,No,19
0174-QRVVY,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Two year,No,Credit card (automatic),25.35,1847.55,Male,0,Yes,Yes,71
0177-PXBAT,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.9,3694.7,Male,1,Yes,No,33
0178-CIIKR,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Mailed check,19.95,58.0,Female,0,No,No,3
0178-SZBHO,No,Fiber optic,No,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,87.2,4017.45,Male,0,Yes,Yes,47
0181-RITDD,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,108.15,6825.65,Male,0,Yes,Yes,62
0186-CAERR,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),116.3,8309.55,Male,0,No,No,71
0187-QSXOE,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.0,605.45,Male,1,Yes,No,7
0187-WZNAB,No,Fiber optic,Yes,No,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,74.4,1972.35,Female,0,Yes,Yes,27
0188-GWFLE,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Mailed check,20.05,33.7,Male,0,No,No,2
0191-EQUUH,No,DSL,Yes,No,No,Yes,No,No,No,No phone service,Two year,No,Bank transfer (automatic),35.05,844.45,Female,0,No,Yes,25
0191-ZHSKZ,No,DSL,Yes,Yes,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,74.75,2111.3,Male,1,No,No,30
0193-ESZXP,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),105.5,6205.5,Female,1,Yes,No,58
0195-IESCP,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,85.25,855.3,Male,0,Yes,No,10
0196-JTUQI,No,Fiber optic,No,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),75.2,633.85,Female,0,No,No,9
0196-VULGZ,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,84.35,474.9,Female,1,Yes,No,6
0197-PNKNK,No,Fiber optic,Yes,No,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),84.45,5848.6,Female,0,Yes,Yes,69
0201-MIBOL,No,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),102.4,6471.85,Female,1,No,No,66
0201-OAMXR,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),115.55,8127.6,Female,0,No,No,70
0203-HHYIJ,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),25.3,676.35,Male,0,No,No,25
0206-OYVOC,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Two year,Yes,Mailed check,19.25,864.2,Female,0,Yes,Yes,46
0206-TBWLC,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,114.65,6049.5,Female,0,Yes,No,54
0207-MDKNV,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,105.1,1582.75,Female,0,No,No,15
0208-BPQEJ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),19.4,198.1,Female,0,Yes,Yes,12
0212-ISBBF,No,DSL,No,Yes,No,No,Yes,Yes,No,No phone service,Month-to-month,Yes,Electronic check,50.35,1098.85,Female,0,No,No,22
0214-JHPFW,No,DSL,No,Yes,Yes,Yes,Yes,Yes,No,No phone service,Two year,No,Bank transfer (automatic),57.8,4039.3,Female,0,Yes,No,70
0215-BQKGS,No,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),84.3,2438.6,Male,0,No,No,30
0218-QNVAS,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),100.55,7113.75,Male,0,Yes,Yes,71
0219-QAERP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,One year,No,Credit card (automatic),19.8,576.65,Male,0,Yes,No,30
0219-YTZUE,Yes,Fiber optic,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,Male,0,Yes,Yes,4
0220-EBGCE,Yes,Fiber optic,No,No,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,85.85,167.3,Male,0,No,No,2
0221-NAUXK,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),19.95,219.5,Male,0,No,Yes,10
0221-WMXNQ,No,Fiber optic,Yes,No,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,75.35,273.4,Male,1,No,No,4
0222-CNVPT,No,DSL,Yes,No,No,No,Yes,Yes,No,No phone service,Month-to-month,Yes,Credit card (automatic),48.8,2555.05,Male,1,No,No,52
0224-HJAPT,Yes,DSL,No,No,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,47.15,223.15,Male,0,No,No,5
0224-NIJLP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Two year,No,Mailed check,20.15,165.5,Male,0,Yes,Yes,8
0224-RLWWD,No,DSL,No,No,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,44.3,89.3,Female,1,No,No,2
0225-ZORZP,No,Fiber optic,No,Yes,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,84.3,235.05,Male,0,No,No,3
0228-MAUWC,No,DSL,No,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,59.55,1144.6,Male,0,No,No,19
0229-LFJAF,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),69.65,4908.25,Male,0,No,No,72
0230-UBYPQ,No,DSL,Yes,No,No,Yes,No,No,No,No phone service,One year,No,Bank transfer (automatic),36.1,2298.9,Male,1,Yes,No,63
0230-WEQUW,No,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No phone service,Two year,Yes,Bank transfer (automatic),56.6,3789.2,Male,0,Yes,No,66
0231-LXVAP,Yes,Fiber optic,No,No,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,75.9,75.9,Male,0,No,No,1
0233-FTHAV,No,Fiber optic,No,No,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),79.2,4765.0,Female,0,No,No,60
0234-TEVTT,No,DSL,Yes,No,Yes,No,No,Yes,No,No phone service,One year,No,Credit card (automatic),45.0,2196.3,Female,0,Yes,Yes,48
0235-KGSLC,Yes,Fiber optic,No,No,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.55,85.55,Female,0,No,No,1
0236-HFWSV,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,93.35,1444.65,Male,0,No,No,15
0237-YFUTL,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.65,5405.8,Female,0,Yes,No,50
0238-WHBIQ,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.7,6339.3,Male,0,Yes,Yes,72
0239-OXEXL,No,Fiber optic,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,84.25,3847.6,Female,0,No,No,46
0244-LGNFY,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),92.65,6733.0,Female,0,Yes,Yes,72
0247-SLUJI,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Mailed check,19.7,19.7,Male,0,Yes,Yes,1
0248-IPDFW,No,DSL,No,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.1,50.1,Female,0,No,No,1
0248-PGHBZ,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),92.45,6140.85,Female,1,No,No,67
0253-ZTEOB,No,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,79.65,3870.3,Female,0,Yes,Yes,48
0254-FNMCI,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,109.9,7624.2,Female,0,No,No,72
0254-KCJGT,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),81.4,4354.45,Male,0,Yes,No,52
0254-WWRKD,No,DSL,No,Yes,No,No,No,No,Yes,No,One year,No,Credit card (automatic),50.55,3431.75,Female,0,Yes,Yes,67
0256-LTHVJ,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,81.05,2227.1,Female,0,Yes,Yes,28
0257-KXZGU,No,DSL,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),62.45,2045.55,Female,0,Yes,Yes,32
0257-ZESQC,Yes,Fiber optic,Yes,No,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.2,1929.35,Female,1,Yes,No,27
0258-NOKBL,No,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,90.4,268.45,Male,0,No,No,3
0259-GBZSH,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,85.65,181.5,Male,0,No,No,2
0260-ZDLGK,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,72.9,651.4,Female,0,No,Yes,9
0263-FJTQO,No,DSL,Yes,No,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),70.5,3486.65,Male,0,Yes,Yes,50
0264-CNITK,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Two year,No,Bank transfer (automatic),20.1,1389.6,Female,0,Yes,Yes,71
0265-EDXBD,Yes,Fiber optic,No,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.9,2303.35,Male,1,Yes,No,32
